t,T,Pc,mdot_fuel,mdot_ox,xv,xv_dot
0,0,0,0,0,0,0
0.0001,0,0,0,0,0,1
0.0002,0,0,3.09155766293375e-05,4.32818072810725e-05,0.0001,1.98
0.0003,0,2.45169005497042,9.21283477709216e-05,0.00012897968687929,0.000298,2.9403
0.0004,0,9.62758352750069,0.000183028937651686,0.000256240512712361,0.00059203,3.881196
0.0005,0,23.6312421303059,0.000303016662939066,0.000424223328114693,0.0009801496,4.80298005
0.0006,0,46.4069333234534,0.000451499250595281,0.000632098950833394,0.001460447605,5.7059402994
0.0007,0,79.7487527157694,0.000627892584422878,0.00087904961819203,0.00203104163494,6.590361045807
0.0008,0,125.309242143645,0.000831620477496106,0.00116426866849455,0.0026900777395207,7.45652278325592
0.0009,0,184.607532249829,0.00106211446791324,0.00148696025507854,0.00343573001784629,8.30470224985128
0.001,0,259.037036651472,0.00131881363552648,0.00184633908973707,0.00426620024283142,9.13517247483641
0.0011,0,349.872723162929,0.00160116443750976,0.00224163021251366,0.00517971749031506,9.94820282509685
0.0012,0,458.277986017437,0.00190862056081249,0.00267206878513748,0.00617453777282475,10.7440590511046
0.0013,0,585.311141605988,0.00224064278971935,0.00313689990560709,0.00724894367793521,11.5230033323097
0.0014,0,731.93156891532,0.00259669888689489,0.00363537844165285,0.00840124401116617,12.2852943219856
0.0015,0,899.005514593988,0.00297626348643706,0.00416676888101188,0.00962977344336473,13.0311871915347
0.0016,0,1087.31158140064,0.00337881799759741,0.00473034519663637,0.0109328921625182,13.7609336742606
0.0017,0,1297.54591768662,0.00380385051794841,0.00532539072512777,0.0123089855299443,14.4747821086129
0.0018,0,1530.32712453149,0.00425085575489071,0.00595119805684699,0.0137564637408055,15.1729774809107
0.0019,0,1786.20089617982,0.00471933495449629,0.00660706893629481,0.0152737614888966,15.8557614675517
0.002,0,2065.64440851775,0.00520879583677815,0.00729231417148941,0.0168593376356518,16.5233724767117
0.0021,0,2369.07046947307,0.00571875253656351,0.00800625355118892,0.018511674883323,17.1760456895419
0.0022,0,2696.83144442041,0.00624872554922719,0.00874821576891807,0.0202292794522771,17.8140131008677
0.0023,0,3049.22296891995,0.00679824168061397,0.00951753835285956,0.0220106807623639,18.4375035593981
0.0024,0,3426.48746041025,0.00736683400054551,0.0103135676007637,0.0238544311183037,19.0467428074477
0.0025,0,3828.81743981112,0.00795404179936792,0.0111356585191151,0.0257591053990485,19.6419535201805
0.0026,0,4256.35867336774,0.00855941054705164,0.0119831747658723,0.0277233007510665,20.2233553443778
0.0027,0,4709.21314448022,0.00918249185440589,0.0128554885961682,0.0297456362855043,20.7911649367392
0.0028,0,5187.44186471067,0.00982284343601629,0.0137519808104228,0.0318247527791782,21.3455960017189
0.0029,0,5691.06753264111,0.0104800290745564,0.014672040704379,0.0339593123793501,21.8868593289054
0.003,0,6220.07704876722,0.0111536185861626,0.0156150660206276,0.0361479983122407,22.4151628299479
0.0031,0,6774.42389415409,0.0118431877865958,0.0165804629012341,0.0383895145952355,22.9307115750367
0.0032,0,7354.03038014792,0.0125483184579479,0.0175676458411271,0.0406825857527391,23.4337078289407
0.0033,0,7958.78977603121,0.013268598315676,0.0185760376419464,0.0430259565356332,23.9243510866092
0.0034,0,8588.5683211265,0.0140036209757776,0.0196050693660886,0.0454183916442941,24.4028381083414
0.0035,0,9243.20712749312,0.0147529859219419,0.0206541802907187,0.0478586754551283,24.8693629545302
0.0036,0,9922.52397902265,0.015516298472534,0.0217228178615476,0.0503456117505813,25.3241170199845
0.0037,0,10626.3150324189,0.0162931697472898,0.0228104376462057,0.0528780234525797,25.7672890678342
0.0038,0,11354.3564252479,0.0170832166336155,0.0239165032870617,0.0554547523593632,26.199065263025
0.0039,0,12106.4057959582,0.0178860617524035,0.0250404864533649,0.0580746588856657,26.6196292054051
0.004,0,12882.2037205078,0.0187013334232895,0.0261818667926054,0.0607366218062062,27.0291619624113
0.0041,0,13681.4750699779,0.0195286656292898,0.0273401318810057,0.0634395380024473,27.4278421013569
0.0042,0,14503.9302933195,0.0203676979807687,0.0285147771730762,0.066182322212583,27.8158457213273
0.0043,0,15349.2666291534,0.0212180756786978,0.029705305950177,0.0689639067847157,28.1933464846882
0.0044,0,16217.169250334,0.0220794494771773,0.0309112292680482,0.0717832414331845,28.5605156482097
0.0045,0,17107.3123447859,0.0229514756451976,0.0321320659032766,0.0746392929980055,28.9175220938123
0.0046,0,18019.3601359373,0.0238338159276294,0.0333673422986812,0.0775310452073867,29.2645323589381
0.0047,0,18952.9678458939,0.0247261375054348,0.0346165925076087,0.0804574984432805,29.6017106665519
0.0048,0,19907.7826043324,0.0256281129550982,0.0358793581371375,0.0834176695099357,29.9292189547776
0.0049,0,20883.444305931,0.0265394202072835,0.0371551882901969,0.0864105914054135,30.2472169061721
0.005,0,21879.5864190094,0.0274597425047253,0.0384436395066153,0.0894353130960307,30.5558619766433
0.0051,0,22895.8367479055,0.0283887683593684,0.0397442757031158,0.092490899293695,30.8553094240144
0.0052,0,23931.8181514863,0.0293261915087735,0.0410566681122829,0.0955764302360965,31.1457123362404
0.0053,0,24987.1492200622,0.0302717108718071,0.04238039522053,0.0986910014697205,31.4272216592795
0.0054,0,26061.4449128568,0.0312250305036416,0.0437150427050983,0.101833723635648,31.6999862246242
0.0055,0,27154.3171580699,0.0321858595500879,0.045060203370123,0.105003722258111,31.964152776496
0.0056,0,28265.3754174686,0.0331539122012898,0.0464154770818057,0.10820013753576,32.219865998708
0.0057,0,29394.2272173358,0.0341289076448078,0.0477804707027309,0.111422124135631,32.4672685411981
0.0058,0,30540.4786475164,0.0351105700181233,0.0491547980253726,0.114668850989751,32.7065010462385
0.0059,0,31703.7348302063,0.0360986283605928,0.0505380797048299,0.117939501094375,32.937702174324
0.006,0,32883.6003600481,0.0370928165648867,0.0519299431908414,0.121233271311807,33.1610086297431
0.0061,0,34079.6797170154,0.0380928733279425,0.0533300226591195,0.124549372174782,33.3765551858365
0.0062,0,35291.5776534903,0.0390985421014678,0.0547379589420549,0.127887027693365,33.5844747099449
0.0063,0,36518.8995568709,0.0401095710420246,0.0561533994588345,0.13124547516436,33.7848981880527
0.0064,0,37761.2517889717,0.0411257129607301,0.0575759981450222,0.134623964983165,33.9779547491273
0.0065,0,39018.2420034198,0.0421467252726056,0.0590054153816479,0.138021760458078,34.1637716891616
0.0066,0,40289.4794421874,0.0431723699456084,0.0604413179238518,0.141438137626994,34.3424744949202
0.0067,0,41574.5752123413,0.0442024134493782,0.0618833788291294,0.144872385076486,34.5141868673948
0.0068,0,42873.1425440382,0.045236626703732,0.0633312773852248,0.148323803763225,34.6790307449705
0.0069,0,44184.7970307414,0.0462747850269389,0.0647846990377145,0.151791706837723,34.8371263263078
0.007,0,45509.1568525839,0.0473166680838067,0.0662433353173294,0.155275419470353,34.988592092944
0.0071,0,46845.8429837589,0.0483620598336112,0.0677068837670557,0.158774278679648,35.1335448316147
0.0072,0,48194.4793847722,0.0494107484778992,0.0691750478690589,0.162287633162809,35.2720996563028
0.0073,0,49554.6931803509,0.0504625264081947,0.0706475369714726,0.165814843128439,35.4043700300139
0.0074,0,50926.1148237608,0.0515171901536377,0.0721240662150927,0.169355280131441,35.5304677862852
0.0075,0,52308.3782482498,0.052574540328583,0.0736043564600161,0.172908326910069,35.6505031504281
0.0076,0,53701.1210062973,0.0536343815801883,0.0750881342122636,0.176473377225112,35.7645847605094
0.0077,0,55103.9843973147,0.0546965225360169,0.0765751315504236,0.180049835701163,35.8728196880741
0.0078,0,56516.6135844135,0.0557607757516815,0.078065086052354,0.183637117669971,35.9753134586115
0.0079,0,57938.6577008226,0.0568269576585544,0.0795577407219761,0.187234649015832,36.0721700717693
0.008,0,59369.7699465099,0.0578948885115686,0.081052843916196,0.190841866023009,36.1634920213181
0.0081,0,60809.6076755364,0.0589643923371322,0.082550149271985,0.19445821522514,36.2493803148687
0.0082,0,62257.8324746427,0.0600352968811804,0.0840494156336526,0.198083153256627,36.3299344933462
0.0083,0,63714.1102335436,0.0611074335573857,0.0855504069803399,0.201716146705962,36.4052526502226
0.0084,0,65178.1112073861,0.0621806373955468,0.0870528923537655,0.205356671970984,36.4754314505122
0.0085,0,66649.5100717973,0.0632547469901785,0.0885566457862498,0.209004215116035,36.540566149531
0.0086,0,68127.9859709346,0.0643296044493191,0.0900614462290467,0.212658271730989,36.6007506114243
0.0087,0,69613.2225589254,0.065405055343576,0.0915670774810064,0.216318346792131,36.6560773274649
0.0088,-17.7893268599774,71104.9080350659,0.0664809486554257,0.0930733281175959,0.219983954524877,36.7066374341234
0.0089,-14.9999207098445,72602.7351731313,0.0675571367287855,0.0945799914202997,0.22365461826829,36.7525207309161
0.009,-12.2524073002178,74106.4013451312,0.068633475218874,0.0960868653064236,0.227329870341381,36.7938156980295
0.0091,-9.5407019276454,75615.6085398272,0.0697098230423732,0.0975937522593224,0.231009251911184,36.8306095137275
0.0092,-6.85962831107508,77130.0633763161,0.0707860423279093,0.099100459259073,0.234692312862557,36.8629880715418
0.0093,-4.20476523796177,78649.4771129644,0.0718619983668649,0.100606797713611,0.238378611669711,36.8910359972484
0.0094,-1.57232340230071,80173.5656519685,0.0729375595645351,0.102112583390349,0.242067715269436,36.9148366656337
0.0095,1.04095434361211,81702.0495397984,0.0740125973916407,0.103617636348297,0.245759198935999,36.9344722170516
0.0096,3.63787440494426,83234.6539637741,0.0750869863362097,0.105121780870694,0.249452646157705,36.9500235737746
0.0097,6.22085937777067,84771.1087450064,0.0761606038558387,0.106624845398174,0.253147648515082,36.9615704561414
0.0098,8.79200344667365,86311.1483279275,0.0772333303303431,0.10812666246248,0.256843805560696,36.9691913985034
0.0099,11.3531185223457,87854.511766622,0.0783050490148075,0.109627068620731,0.260540724700547,36.9729637649727
0.01,13.9057728922746,89400.9427081603,0.079375645993044,0.111125904390262,0.264238021077044,36.9729637649727
0.0101,16.4513237770779,90950.1893731259,0.0804450101314674,0.112623014184054,0.267935317453541,36.9692664685962
0.0102,18.9909448944968,92502.0045335184,0.0815130330333952,0.114118246246753,0.271632244100401,36.9619458217707
0.0103,21.5256499093425,94056.1454882049,0.0825796089937793,0.115611452591291,0.275328438682578,36.9510746612349
0.0104,24.0563124740688,95612.3740360856,0.0836446349543766,0.117102488936127,0.279023546148701,36.9367247293276
0.0105,26.5836834289315,97170.4564471275,0.0847080104593642,0.11859121464311,0.282717218621634,36.9189666885924
0.0106,29.1084056238425,98730.1634314165,0.0857696376114048,0.120077492655967,0.286409115290493,36.8978701361989
0.0107,31.631026739376,100291.270106368,0.0868294210281685,0.121561189439436,0.290098902304113,36.8735036181844
0.0108,34.1520104168713,101853.55596223,0.087887267799314,0.12304217491904,0.293786252665932,36.8459346435166
0.0109,36.671745953446,103416.804826006,0.0889430874439349,0.124520322421509,0.297470846130283,36.8152296979804
0.011,39.1905567740607,104980.804823917,0.0899967918684737,0.125995508615863,0.301152369100081,36.7814542578905
0.0111,41.7087078573759,106545.348342521,0.0910482953251082,0.127467613455152,0.30483051452587,36.7446728036326
0.0112,44.2264122632877,108110.231988594,0.0920975143706112,0.128936520118856,0.308504981806234,36.7049488330341
0.0113,46.7438368863993,109675.25654788,0.0931443678256876,0.130402114955963,0.312175476689537,36.6623448745671
0.0114,49.2611075402548,111240.226942802,0.0941887767347916,0.131864287428708,0.315841711176994,36.6169225003863
0.0115,51.7783134610954,112804.952189237,0.0952306643264225,0.133322930056992,0.319503403427032,36.5687423392015
0.0116,54.2955113065793,114369.245352431,0.0962699559739048,0.134777938363467,0.323160277660953,36.5178640889905
0.0117,56.8127287138002,115932.923502148,0.0973065791566497,0.13622921081931,0.326812064069852,36.4643465295497
0.0118,59.329967471661,117495.807667125,0.0983404634219021,0.137676648790663,0.330458498722807,36.4082475348889
0.0119,61.8472063548602,119057.722788914,0.0993715403469703,0.139120156485758,0.334099323476296,36.3496240854683
0.012,64.3644036601932,120618.497675174,0.100399743501941,0.140559640902718,0.337734285884842,36.2885322802826
0.0121,66.8814994803132,122177.964952491,0.101425008412879,0.141995011778031,0.341363139112871,36.2250273487921
